text,respon
Apasih?!! Dudu kwi maksudku! Iso po ra kwe jane?,"Sepurane aku ra iso, tapi tak ewangi sak isoku."
MBOH AH! Sak karepmu!,"Maap atuh, ojo nesu. Pye wis njlentrehno maksudmu?"
Waaah makasih banget ya!,"Podo podo, Koyo karo sopo wae."
Eh aku seneng banget karo kwe. Mergo Kwe ki apikan.,"Awww romantis banget, awokawokawok"
Mau aku kecele mergo wong kae mau jahat banget.,Endi wonge? Kyo ngopo toh kethek sing nglarani kwe?
Aku rasane pengen nangis.,"Cup cup cup, wis curhat ning aku rapopo."
Aku gabut banget ek  preinan ora ngopo ngopo ngene.,"Yowis, kwe arep dolanan opo? Nonton anime wae?"
"Aku bosen, Arep ngopo yo?",Lha mbuh kok malah tekok ning aku. Opo nggibah wae?
"Aku wedi, mau ketemu setan ning alas.",Coh setan?!! Tenane? Ojo ngapusi lho.
"Ogah ah, aku wedi soale.",LHa pye meneh arepan. Njaluk dikancani cah siji ki.
Aku wis kesel ngenteni kowe sing ora tau teka pas wayahe!,"Yo maap atuh, kesempurnaan hanya Milik Allah."
Aja sembrana nek guneman marang wong tuwa!,"Okey, ancen wong tuwo kudu diajeni."
Sapa sing njaluk aku nandangi iki mau?!,"Aku, hehehe. Maap ya? Yowis aku kudu pye?"
Kowe iku dikandani malah ngelawan terus!,Lha kwe wis cetho cetho salah no kok malah ngegas.
Aku wes emosi banget ndeleng ketikanmu sing ora cetha!,Ketikanmu barang yo ora cetho. Aku udu menungsa lho.
Ra usah mbok tandangi wae. Ra cetho kyo ngono!,"Yo maap, nak ngei perintah ki sing jelas gek tak tandhangi."
Wis dijelasake peng akeh kok tetep wae ora mudeng!,"Maap ya?, wis jelaske meneh wae."
Kwe ki mudeng ra toh tak andani!,Ora. Makane jelaske ning aku sing detil alon alon.
Ooo lha ndlogok cah iki jebulane.,"Hehehe, sepurane. Serius iki, pye pye?"
Aku ra seneng nak digawekke kaya ngene iki!,Yowis njalukmu kyo ngopo?
Alhamdulillah akhire wis dadi tugas e. Matur suwun!,"Alhamdulillah, aku yo melu seneng."
Matur suwun banget mergo wis Gelem ngewangi aku!,"Podo podo, santai. Kyo karo sopo wae."
Makasih banget wis ngewangi aku yo?,"Yoi, no problemo. Nak pengen njaluk tulung meneh tekok aku rapopo."
Atiku bungah banget ndeleng adhiku iso ngguyu maneh.,"Alhamdulillah, aku melu seneng meskiyo aku kode."
Wah dhuwit tabunganku wis cukup gawe tuku pit anyar!,"Yeeeey, arep tuku pit sing kyo ngopo?"
Dina iki rasane seneng banget lan kabeh mlaku lancar.,Alhamdulillah bejo no? Aku podho yo melu seneng.
Aku seneng banget amergo entuk hadiah surprise saka kanca-kanca.,Anjaaay. wis kyo artis kih. Hahaha.
Yen kowe seneng aku ya melu ngrasakake seneng.,Berarti awakdewe jodho no? Podho podho senenge.
Alhamdulillah perjuangane awakdewe akhire ana hasile.,Alhamdulillah yeeey. Wis perayaan yo? Opo leren sek?
Sesok minggu awakdewe bakal plesiran menyang pantai!,Subhanallah. Sing tak impek impekke kedaden.
Atiku sedih ndeleng kahanan kulawarga sing kaya ngene.,Ih ono opo? Cerito karo aku rapopo. Aku tak dadi bestiemu.
Aku ora nyangka kowe tega ninggalake aku tanpa alesan.,Anjir lagu opo kwi? Tak bethek lagu cidro.
Sedih banget rasane nalika kelangan kucing kesayanganku.,Astaghfirullahaladzim. Kucing mu ilang mati po pye?
Kabeh rencanaku gagal total lan aku ngrasakake gundhah.,Cup cup cup. Senden ning bahu ku kene? Menowo marai tentrem.
Bapak lan ibu wis ora ana maneh ning kene.,"Astaghfirullahaladzim, ono opo?. Kwe ojo nangis ya? Aku ngko melu nangis."
Rasane pengen nangis. utekku gek sempruwet.,Nangis garek nangis. Ora ono sing menging nangis. Cup cup cup.
Mripatku nganti bengkak mergo nangis sewengi mbludak.,Saiki kwe rapopo to? Nak arep crito karo aku rapopo.
Mbuh aku yo ra reti. Dadaku sesek  gek an.,"Tenang, santai. Ono opo jane? Crito marangku wae kene."
"Huwaaa, rasane pengen nangis. Mbuh kok iki iso kyo ngene.",Menungso jaman saiki kok nangisan. Ono opo toh?
Kabeh pangarep-arepku ora keturutan babar blas.,"Cup cup cup, wis, ora popo ra keturutan. Emang opo arepanmu?"
Ora ana kegiatan sing seru banget dina iki.,Podho ik. Aku yo bosen ning njero laptop seumur urip.
Sedina muput mung ndeleng hp wae rasane sepet.,"Hahaha, sepet ngga tuh. Jane ono gawean k? , ben ra bosen."
Aku wis bosen ngrungokake alesanmu sing iku-iku wae.,Lha pye meneh? Aku iso ngewangi opo iki?
Sedina-dina mung ning omah wae ora ana sing diajak omong.,"Yowis to, ngomong karo aku wae nak ora ono sing diajak  ngomong."
Pelajaran iki suwe banget lan gawe ngantuk.,Tak bethek pelajaran matematika ya? Awokawokawok.
Rutinitas saben dina sing podo nggawe aku jenuh banget.,Aku yo podo bosen e. ra iso ngopo ngopo dadi kode ki.
Wis rong jam ngenteni nanging durung ana kepastian.,"Jir, kwi ngenteni opo? kyo ngenteni mantan wae, awokawokawok."
Aku bingung kudu nglakoni apa amarga kabeh wis rampung.,"Nak rajin banget yo ngene, ngasik bingung arep ngopo."
Menawi acarane kaya ngene terus aku pingin mulih wae.,Lha arep pye meneh? Nak ra gelem yowis bali wae.
Udan-udan ngene iki ora iso lungo mung isa turu.,Tapi iso nonton  pas udan. Kan seru!
Aku wedi banget yen liwat dalan sepi lan peteng iki.,Wedi karo opo? setan? awokawokawok jaman saiki ijek percoyo setan.
Aja ninggalake aku ing kene dhewekan! aku wedi karo setan.,Ngopo wedi? setan e ra ketok no kok.
Ono rasa kuwatir yen ujian sesok ora iso njawab.,Bismillah jawab sak isone to?
Aja mbahas cerita horror maneh aku ora wani ngrungokake!,"Yo wis, kwe arep ngrungokake cerita opo?"
Suwara aneh ing ndhuwur gendheng mau nggawe aku gemeter.,Hayo ning ndhuwur gendheng ono apa ne? Hahaha.
Aku wedi yen konangan lan diseneni karo Bapak.,Bukane karo ibuk ya?  Bapakmu segalak opo sih jane?
Jantungku rasane arep copot nalika krungu swara bledheg.,Jelas lha wong bledheg e medeni kok.
"Ih apasih? Marai wedi wae. Reti ra, aku ngasik merinding.","Hehehe, ben tak weden wedeni. Ben ngompol."
Aja cedhak-cedhak asu iku amarga ketok galak banget!,"Okey okey, tur ben ora kena rabies mergo asu ne."
Atiku krasa dredeg banget arep maju ning ngarep dewe.,"Tenang sante, tak nafas barkui tok  ke alon alon."
